Time,Parts0_X,Parts0_Y,Parts0_Z,Parts1_X,Parts1_Y,Parts1_Z,Parts2_X,Parts2_Y,Parts2_Z,Parts3_X,Parts3_Y,Parts3_Z,Parts4_X,Parts4_Y,Parts4_Z,Parts5_X,Parts5_Y,Parts5_Z,Parts6_X,Parts6_Y,Parts6_Z,Parts7_X,Parts7_Y,Parts7_Z,Parts8_X,Parts8_Y,Parts8_Z,Parts9_X,Parts9_Y,Parts9_Z,Parts10_X,Parts10_Y,Parts10_Z,Parts11_X,Parts11_Y,Parts11_Z,Parts12_X,Parts12_Y,Parts12_Z,Parts13_X,Parts13_Y,Parts13_Z,Parts14_X,Parts14_Y,Parts14_Z
32.1999678,-89.41773,268.9672,326.7191,-52.67922,165.4212,79.60403,0,0,0,-172.9629,127.1252,79.60403,-150.6894,-148.0471,35.48207,-130.1101,-341.0291,-45.68964,67.6045,203.7173,79.60403,114.8211,-15.94434,-72.65839,243.4122,-202.1842,-257.3658,-30.13849,-191.7963,-79.5898,9.69899,-499.1602,-218.2098,63.04152,-796.9684,-352.802,135.4979,-139.0444,-79.61956,246.7031,-400.9562,-341.4852,308.9423,-638.6827,-534.8608
32.2666344,-96.03014,269.8947,322.3928,-61.36735,171.9726,86.86961,0,0,0,-180.7518,129.3646,86.8697,-147.2623,-145.3053,29.1091,-129.6634,-333.7023,-43.48925,58.01728,214.5809,86.8697,123.6556,-12.61194,-78.6104,233.655,-187.8311,-273.472,-20.23179,-201.0947,-86.87062,7.282499,-503.1331,-224.4582,58.72253,-799.392,-364.7188,142.9663,-142.8503,-86.86947,256.665,-417.4808,-348.7184,333.7711,-674.4224,-569.5707
32.333301,-94.88475,264.4575,321.5271,-60.34732,173.1594,85.02579,0,0,0,-182.6169,130.5414,85.02579,-150.9409,-149.1433,28.25768,-132.9095,-325.916,-39.12154,61.92221,215.7773,85.02579,121.1926,-19.30347,-89.47926,202.5079,-222.6334,-296.4154,-23.28683,-202.3107,-85.0267,-4.356584,-484.9419,-218.8728,41.71486,-791.0962,-360.1172,143.9828,-144.0079,-85.02618,255.7807,-420.6268,-349.8537,330.652,-673.4484,-555.7512
32.3999676,-55.43171,271.2574,324.0766,-48.55811,167.9357,90.60201,0,0,0,-162.4442,134.9459,90.60193,-144.2379,-136.6587,44.51694,-130.6474,-332.4128,-38.45078,65.32776,200.925,90.60194,124.8694,4.35376,-84.23695,233.4936,-189.2332,-269.0938,-26.72839,-189.9012,-90.29652,12.15682,-517.5186,-237.1228,46.99952,-833.4988,-362.1787,123.8452,-145.9697,-90.90704,215.3797,-392.1621,-375.5527,276.7912,-656.8187,-616.9534
32.4666342,-55.97414,299.2418,313.2133,-39.59628,162.4355,99.6792,0,0,0,-159.1767,133.2873,99.67909,-142.869,-140.1913,68.03662,-133.2768,-336.879,-33.17878,79.98432,191.5836,99.6791,107.8097,8.144287,-93.17542,197.9502,-170.0669,-300.1627,-34.4684,-180.4945,-99.6729,-7.573451,-512.6429,-254.6577,23.96687,-820.3019,-356.7454,113.6608,-144.3761,-99.68512,166.092,-391.1924,-404.5685,215.5687,-635.8053,-651.7198
32.5333008,-52.03335,281.9561,324.006,-38.44706,160.6511,95.98931,0,0,0,-167.9829,129.6811,95.98955,-156.1546,-138.6902,39.12924,-150.1113,-349.3123,-53.28656,91.08815,191.6212,95.98955,118.8626,2.4198,-99.53512,207.0773,-190.3218,-292.1864,-48.51809,-181.379,-96.03249,1.796035,-514.4043,-235.006,52.02237,-829.808,-392.8402,125.4127,-139.923,-95.94698,177.5064,-387.8984,-382.6328,236.0475,-621.2705,-653.1047
32.5999674,-32.97333,249.8829,328.6703,-31.45235,162.2589,81.23718,0,0,0,-159.8506,137.3763,81.2368,-153.094,-132.7527,8.182675,-132.4864,-284.8435,-83.10567,96.9465,187.1423,81.2368,157.9731,-9.372192,-97.88217,244.3903,-205.693,-287.0698,-64.39951,-180.8484,-81.24193,20.05823,-512.2968,-233.5847,84.34538,-816.1067,-385.952,127.3042,-143.67,-81.23095,220.3411,-388.9712,-360.9612,282.7061,-597.2817,-623.5029
32.666634,-31.03724,257.5542,307.077,-30.3469,165.2003,71.77647,0,0,0,-159.9077,141.4114,71.77667,-144.3238,-141.9069,-12.49132,-63.85211,-226.5294,-153.3141,99.21319,188.9894,71.77669,161.0712,1.293091,-75.9477,218.5467,-195.0044,-279.2592,-77.1182,-184.943,-71.76402,4.181694,-527.0439,-246.0694,85.35097,-811.5077,-423.2567,137.8121,-145.4585,-71.78854,238.3855,-402.1124,-335.8245,276.2853,-608.2902,-590.608
32.7333006,-24.27594,265.7697,327.0822,-24.61017,170.6346,69.09981,0,0,0,-153.0887,152.0823,69.09924,-163.6978,-125.4476,-2.2086,-126.083,-271.1331,-189.9282,103.8688,189.1876,69.09921,165.2894,-22.80554,-75.48746,198.4651,-225.6602,-270.6708,-76.64195,-185.2574,-69.0797,-19.58246,-504.5883,-255.7856,43.06765,-811.9021,-408.6208,125.8614,-156.0123,-69.11872,203.3383,-465.5889,-278.0298,199.8137,-663.9669,-535.5014
32.7999672,13.98211,291.808,314.1532,-17.82275,174.5405,66.91667,0,0,0,-151.084,160.9761,66.91673,-178.8773,-125.5746,-16.67072,-139.4739,-329.0895,-104.9375,115.4389,188.1055,66.91673,164.9246,-34.46973,-55.66722,162.7568,-204.6604,-268.4879,-74.23589,-183.9453,-66.8674,-48.62709,-491.2126,-262.1192,-1.805141,-784.9299,-431.7886,109.8813,-165.135,-66.96751,150.4746,-476.8905,-258.4779,138.093,-834.2328,-299.9059
32.8666338,38.3067,280.2175,318.5536,1.47899,176.9159,74.88418,0,0,0,-138.3634,177.9391,74.8848,-189.1615,-77.58923,33.80165,-181.8321,-291.6219,-118.6925,141.3215,175.8929,74.8848,175.0822,-72.97937,-49.18104,167.2607,-255.5665,-231.6157,-77.50243,-176.3112,-75.112,-77.70612,-493.452,-271.5998,-67.06719,-768.8602,-463.9828,74.544,-177.5211,-74.65693,95.7314,-515.8839,-219.2784,56.10905,-818.8544,-399.4895
32.9333004,51.85738,284.7208,301.614,8.092385,182.6814,70.11213,0,0,0,-132.1737,188.8997,70.11225,-194.7347,-76.6864,11.79738,-262.4068,-253.8911,-45.8685,148.359,176.463,70.11227,177.1586,-73.76892,-33.29629,157.1644,-244.78,-196.7984,-94.70783,-178.8412,-70.11397,-123.8112,-493.9167,-277.5831,-135.5506,-764.7272,-471.5535,78.52274,-186.5215,-70.11006,47.66101,-548.9431,-179.8132,-92.51159,-766.8152,-419.827
32.999967,18.90563,283.7049,290.1951,7.673316,175.4755,48.55757,0,0,0,-133.8212,181.6973,48.55748,-195.5351,-66.22034,-16.47024,-234.039,-286.3347,-60.67738,149.1684,169.2539,48.5575,192.6954,-85.44067,-52.32391,215.6556,-283.9874,-190.9929,-112.3507,-170.9185,-48.42361,-99.28133,-501.1434,-348.8841,-96.14114,-794.6578,-572.9531,97.00449,-180.0317,-48.69244,71.61282,-522.759,-183.6767,-89.53503,-709.2596,-470.8368
