Time,Parts0_X,Parts0_Y,Parts0_Z,Parts1_X,Parts1_Y,Parts1_Z,Parts2_X,Parts2_Y,Parts2_Z,Parts3_X,Parts3_Y,Parts3_Z,Parts4_X,Parts4_Y,Parts4_Z,Parts5_X,Parts5_Y,Parts5_Z,Parts6_X,Parts6_Y,Parts6_Z,Parts7_X,Parts7_Y,Parts7_Z,Parts8_X,Parts8_Y,Parts8_Z,Parts9_X,Parts9_Y,Parts9_Z,Parts10_X,Parts10_Y,Parts10_Z,Parts11_X,Parts11_Y,Parts11_Z,Parts12_X,Parts12_Y,Parts12_Z,Parts13_X,Parts13_Y,Parts13_Z,Parts14_X,Parts14_Y,Parts14_Z
43.5332898,30.22606,448.7588,48.32568,16.79138,222.1371,23.31868,0,0,0,-165.6961,231.3727,23.23846,-218.9347,-57.99631,134.8814,-230.6627,-40.88275,415.6511,193.3023,210.8844,23.23844,222.5178,-74.76788,131.2579,203.2831,-69.61818,397.0468,-118.4807,-216.2106,-20.75886,-137.8949,-671.1869,23.92961,-182.8331,-1074.451,-71.76432,87.33272,-229.8066,-22.69278,113.8188,-679.5544,44.31752,141.735,-1099.168,4.393278
43.5999564,34.28971,444.1846,54.95683,16.76873,221.345,20.24558,0,0,0,-160.3966,229.9613,22.87311,-216.0985,-65.3329,122.1188,-238.2082,-46.03578,406.6077,191.5493,207.5954,22.87311,234.4009,-76.34477,135.3238,212.5464,-68.75068,404.7816,-113.8336,-213.5563,-15.25852,-131.2189,-665.5262,31.46567,-171.2274,-1066.755,-55.46741,86.28271,-228.2928,-20.16788,122.1963,-674.8671,40.33867,161.4482,-1092.739,-14.79267
43.666623,28.20828,444.1508,52.95718,13.8879,222.9185,19.40775,0,0,0,-159.4637,227.0976,24.50536,-209.9441,-63.43541,123.0147,-233.2537,-45.91751,405.5142,188.4459,209.0739,24.50538,244.2451,-68.22571,127.5233,220.9591,-63.70991,396.709,-108.4908,-216.9305,-13.80017,-122.6059,-668.1221,43.57268,-160.1736,-1077.041,-41.57892,88.5233,-228.777,-18.96114,127.4329,-673.1699,33.37456,171.6503,-1080.205,-23.13785
43.7332896,30.07662,443.2308,54.51539,16.65355,221.5281,18.85572,0,0,0,-154.5331,229.3967,21.38728,-198.5634,-64.79689,121.8793,-213.1397,-43.61591,406.9632,187.4992,203.7702,21.38726,251.6966,-69.35062,119.4192,238.5352,-63.1739,391.3978,-105.0482,-216.5245,-22.44822,-123.1587,-665.2792,42.50998,-156.9066,-1073.534,-39.79541,87.23602,-228.8108,-16.55494,125.1113,-672.9388,29.55257,169.4924,-1076.947,-34.34637
43.7999562,12.40884,442.0908,53.67038,7.271539,219.4694,16.44967,0,0,0,-160.0746,224.1972,18.52809,-196.3723,-90.71748,102.0763,-219.1848,-57.59629,379.9402,180.8993,212.2491,18.52809,259.0597,-67.51752,100.9505,227.2505,-69.87201,378.2982,-97.35421,-216.1241,-30.23469,-114.9969,-661.1807,56.14449,-147.6695,-1087.843,-23.30612,93.80453,-226.9884,-18.09637,132.8847,-673.8803,7.236503,172.7601,-1099.633,-66.74011
43.8666228,2.563072,444.8865,56.37476,3.849499,221.2992,16.20689,0,0,0,-166.5049,216.833,21.41642,-199.742,-92.76034,110.9482,-219.2309,-49.32875,379.1487,174.0266,217.2201,21.41647,267.874,-58.04984,104.1494,220.9621,-70.99982,378.4691,-96.51918,-222.7798,-26.0401,-121.1717,-665.8942,65.68671,-131.8665,-1087.553,-2.673221,94.77159,-222.732,-17.37472,123.5037,-671.4551,-3.461951,170.2458,-1093.041,-85.84673
43.9332894,9.874886,434.7402,51.83801,7.291194,215.5574,14.28141,0,0,0,-155.3297,217.2343,15.82558,-172.5726,-50.66588,122.8052,-98.63945,-38.14359,377.5144,172.6745,202.6365,15.82557,283.3413,-59.07925,42.85674,278.0732,-80.24696,319.7234,-106.0245,-219.0394,-22.94303,-112.1691,-657.4008,67.25275,-117.4836,-1073.876,10.08352,90.92886,-226.2507,-10.50115,127.9612,-668.6846,-22.23983,172.4461,-1088.529,-128.2069
43.999956,22.265,436.1581,61.54111,12.7849,220.5176,22.01943,0,0,0,-149.2112,216.5857,13.82544,-180.973,-38.72813,93.38921,-117.9437,-28.35329,333.1892,183.6289,202.566,13.82542,287.5291,-47.61002,55.01535,253.3706,-74.99364,321.7605,-109.1823,-217.0892,-25.36652,-98.91998,-653.6136,76.43046,-83.17123,-1053.684,20.38993,83.99045,-221.7538,-16.05595,107.5343,-665.2242,-36.18892,174.0895,-1064.254,-181.675
44.0666226,31.55848,435.9175,53.88776,16.38755,214.2235,23.48872,0,0,0,-143.2616,221.2648,19.78013,-233.145,-34.60457,58.3373,-153.9441,-33.88046,291.9118,172.7596,201.3714,19.78015,266.1767,-51.40305,21.14355,269.187,-78.25098,287.124,-108.1733,-216.6449,-18.52759,-72.59949,-655.2833,88.14649,-49.4516,-1052.257,20.62966,77.60834,-227.4369,-19.51249,110.202,-668.1218,-48.06697,159.7514,-1069.161,-236.9853
44.1332892,27.23903,433.7094,41.41201,16.8171,214.5019,24.27445,0,0,0,-136.6509,224.5979,22.54128,-265.5502,-7.554855,-20.98539,-250.6713,-34.00949,227.1679,162.2433,202.1865,22.54128,304.0081,-59.55824,-3.856928,315.9901,-82.67262,264.9229,-102.9053,-213.0597,-23.44113,-73.39712,-645.0635,80.73438,-50.73663,-1054.453,18.14633,73.39928,-227.1971,-22.67553,119.8888,-666.9681,-27.98227,156.9251,-1056.406,-197.1019
